time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-03-20T19:30:56.260Z,38.8383333,-122.7648333,0.84,3.05,ml,42,78,0.003911,0.06,nc,nc72609930,2016-03-22T04:05:06.001Z,"4km WNW of Cobb, California",earthquake,0.14,0.11,0.198,45,reviewed,nc,nc
2016-03-19T21:20:32.380Z,38.8485,-122.758,1.53,3.73,mw,72,46,0.01192,0.05,nc,nc72609210,2016-06-09T21:41:51.040Z,"4km NW of Cobb, California",earthquake,0.09,0.15,,7,reviewed,nc,nc
2016-01-15T13:05:24.680Z,38.8233333,-122.854,2.32,3.42,mw,65,39,0.004767,0.07,nc,nc72580321,2016-04-06T17:30:21.040Z,"9km WNW of The Geysers, California",earthquake,0.11,0.18,,4,reviewed,nc,nc
2016-01-10T09:53:02.120Z,36.3481667,-121.8453333,15.65,3.24,ml,45,191,0.1097,0.08,nc,nc72578171,2016-03-30T02:27:52.040Z,"18km SSW of Carmel Valley Village, California",earthquake,0.38,0.46,0.194,38,reviewed,nc,nc
2016-01-09T17:43:30.120Z,36.8496667,-121.5826667,5.7,3.12,ml,69,48,0.01094,0.1,nc,nc72577866,2016-03-30T02:27:51.040Z,"4km W of San Juan Bautista, California",earthquake,0.13,0.23,0.11,30,reviewed,nc,nc
2015-12-15T13:49:19.580Z,36.239,-120.8063333,6.49,3.01,ml,94,66,0.02341,0.08,nc,nc72568081,2016-03-05T01:42:08.040Z,"28km E of King City, California",earthquake,0.12,0.22,0.209,23,reviewed,nc,nc
2015-12-03T02:11:36.883Z,38.6147,-119.4009,10.1,3.3,ml,33,46.85,0.268,0.1002,nn,nn00521169,2016-03-02T03:36:28.040Z,"19km SSW of Smith Valley, Nevada",earthquake,0.84,0.9,0.19,13,reviewed,nn,nn
2015-11-13T07:36:07.300Z,36.776,-121.2907,8.6,3.5,Ml,77,71.99999424,0.04491576,0.08,nc,nc72554936,2016-02-13T02:08:19.040Z,"7km ESE of Ridgemark, California",earthquake,0.1,0.2,0.2,65,reviewed,nc,nc
2015-11-05T21:18:16.320Z,36.5468333,-121.0326667,7.55,3.04,ml,95,41,0.03207,0.16,nc,nc72548865,2016-02-05T03:16:31.040Z,"29km ENE of Soledad, California",earthquake,0.15,0.31,0.205,20,reviewed,nc,nc
2015-11-04T22:54:54.470Z,37.7781667,-121.9638333,9.24,3.1,mw,119,52,0.01215,0.11,nc,nc72548525,2016-01-30T02:11:08.040Z,"1km E of San Ramon, California",earthquake,0.11,0.15,,4,reviewed,nc,nc
